q_speaker,assembly,q_party,q_sex,q_elect_type,q_birth,q_term_count,q_mona_cd
김종률,18,통합민주당,,지역구,,재선,
김덕규,17,열린우리당,,지역구,,5선,
전재희,17,한나라당,,지역구,,4선,
장향숙,17,열린우리당,,비례대표,,초선,
현애자,17,민주노동당,,비례대표,,초선,
김종인,17,새천년민주당,,비례대표,,5선,
강기정,17,열린우리당,,지역구,,3선,
고경화,17,한나라당,,비례대표,,초선,
김선미,17,열린우리당,,지역구,,초선,
문희,17,한나라당,,비례대표,,초선,
김춘진,17,열린우리당,,지역구,,3선,
박재완,17,한나라당,,비례대표,,초선,
정형근,17,한나라당,,지역구,,3선,
백원우,17,열린우리당,,지역구,,재선,
이기우,17,열린우리당,,지역구,,초선,
정화원,17,한나라당,,비례대표,,초선,
안명옥,17,한나라당,,비례대표,,초선,
장복심,17,열린우리당,,비례대표,,초선,
김병호,17,한나라당,,지역구,,재선,
양승조,17,열린우리당,,지역구,,4선,
장복심,18,열린우리당,,,,초선,
전재희,18,한나라당,,지역구,,4선,
장향숙,18,열린우리당,,,,초선,
정화원,18,한나라당,,,,초선,
현애자,18,민주노동당,,,,초선,
강기정,18,통합민주당,,지역구,,3선,
김충환,18,한나라당,,지역구,,재선,
노웅래,18,더불어민주당,,,,4선,
고경화,18,한나라당,,,,초선,
김춘진,18,통합민주당,,지역구,,3선,
정형근,18,한나라당,,,,3선,
장경수,18,열린우리당,,,,초선,
문희,18,통합민주당,,지역구,,6선,
이기우,18,열린우리당,,,,초선,
안명옥,18,한나라당,,,,초선,
백원우,18,통합민주당,,지역구,,재선,
양승조,18,통합민주당,,지역구,,4선,
서갑원,17,열린우리당,,지역구,,재선,
박순자,17,한나라당,,비례대표,,3선,
오영식,17,열린우리당,,지역구,,3선,
이상열,17,새천년민주당,,지역구,,초선,
김기현,17,한나라당,,지역구,,5선,
곽성문,17,한나라당,,지역구,,초선,
이윤성,17,한나라당,,지역구,,4선,
김태홍,17,열린우리당,,지역구,,재선,
이병석,17,한나라당,,지역구,,4선,
김성곤,17,열린우리당,,지역구,,4선,
이규택,17,한나라당,,지역구,,4선,
김태년,17,열린우리당,,지역구,,5선,
배기선,17,열린우리당,,지역구,,3선,
서갑원,18,통합민주당,,지역구,,재선,
조정식,18,통합민주당,,지역구,,6선,
이성권,18,국민의힘,,,,재선,
김덕규,18,열린우리당,,,,5선,
김성조,18,한나라당,,지역구,,3선,
오영식,18,민주통합당,,,,3선,
우제항,18,열린우리당,,,,초선,
임종인,18,열린우리당,,,,초선,
최용규,18,열린우리당,,,,재선,
노영민,18,통합민주당,,지역구,,3선,
이상열,18,새천년민주당,,,,초선,
이명규,18,한나라당,,지역구,,재선,
곽성문,18,한나라당,,,,초선,
김영주,18,더불어민주당,,,,,
제종길,18,열린우리당,,,,초선,
김기현,18,한나라당,,지역구,,5선,
박영선,18,통합민주당,,지역구,,4선,
신명,18,열린우리당,,,,초선,
강봉균,17,열린우리당,,지역구,,3선,
이한구,17,한나라당,,지역구,,4선,
박명광,17,열린우리당,,비례대표,,초선,
윤건영,17,한나라당,,비례대표,,초선,
채수찬,17,열린우리당,,지역구,,초선,
최경환,17,한나라당,,지역구,,4선,
이미경,17,열린우리당,,지역구,,5선,
유승민,17,한나라당,,비례대표,,5선,
심상정,17,민주노동당,,비례대표,,4선,
박영선,17,열린우리당,,비례대표,,4선,
이혜훈,17,한나라당,,지역구,,3선,
송영길,17,열린우리당,,지역구,,5선,
서병수,17,한나라당,,지역구,,5선,
신국환,17,무소속,,지역구,,초선,
정덕구,17,열린우리당,,비례대표,,초선,
원희룡,17,한나라당,,지역구,,3선,
오제세,17,열린우리당,,지역구,,4선,
임태희,17,한나라당,,지역구,,3선,
이목희,17,열린우리당,,지역구,,재선,
엄호성,17,한나라당,,지역구,,재선,
우제창,17,열린우리당,,지역구,,재선,
문석호,17,열린우리당,,지역구,,재선,
우제창,18,통합민주당,,지역구,,재선,
안택수,18,한나라당,,,,3선,
강봉균,18,통합민주당,,지역구,,3선,
윤건영,18,더불어민주당,,,,,
신국환,18,무소속,,,,초선,
유승민,18,한나라당,,지역구,,5선,
박명광,18,열린우리당,,,,초선,
이한구,18,한나라당,,지역구,,4선,
이목희,18,민주통합당,,,,재선,
심상정,18,정의당,,,,4선,
최경환,18,한나라당,,지역구,,4선,
채수찬,18,열린우리당,,,,초선,
서병수,18,한나라당,,지역구,,5선,
이미경,18,통합민주당,,지역구,,5선,
엄호성,18,한나라당,,,,재선,
송영길,18,통합민주당,,지역구,,5선,
이혜훈,18,한나라당,,지역구,,3선,
문학진,18,통합민주당,,지역구,,재선,
김종인,18,더불어민주당,,,,5선,
오제세,18,통합민주당,,지역구,,4선,
문석호,18,열린우리당,,,,재선,
이종구,18,한나라당,,지역구,,3선,
최성,17,열린우리당,,지역구,,초선,
정의용,17,열린우리당,,비례대표,,초선,
남경필,17,한나라당,,지역구,,5선,
박종근,17,한나라당,,지역구,,4선,
권영길,17,민주노동당,,지역구,,재선,
김덕룡,17,한나라당,,지역구,,5선,
정동채,17,열린우리당,,지역구,,3선,
박진,17,한나라당,,지역구,,4선,
최재천,17,열린우리당,,지역구,,재선,
김무성,17,한나라당,,지역구,,6선,
김용갑,17,한나라당,,지역구,,3선,
임종석,17,열린우리당,,지역구,,재선,
이해봉,17,한나라당,,지역구,,4선,
고흥길,17,한나라당,,지역구,,3선,
권영세,17,한나라당,,지역구,,5선,
정몽준,17,국민통합21,,지역구,,7선,
한명숙,18,민주통합당,,,,3선,
박진,18,한나라당,,지역구,,4선,
장영달,18,열린우리당,,,,4선,
김덕룡,18,한나라당,,,,5선,
정동채,18,열린우리당,,,,3선,
정몽준,18,한나라당,,지역구,,7선,
배기선,18,열린우리당,,,,3선,
김용갑,18,한나라당,,,,3선,
최성,18,열린우리당,,,,,
김광원,18,한나라당,,,,3선,
이강래,18,통합민주당,,지역구,,3선,
김무성,18,무소속,,지역구,,6선,
정의용,18,열린우리당,,,,초선,
고흥길,18,한나라당,,지역구,,3선,
이화영,18,열린우리당,,,,초선,
권영세,18,한나라당,,지역구,,5선,
진영,18,한나라당,,지역구,,4선,
남경필,18,한나라당,,지역구,,5선,
박희태,18,한나라당,,지역구,,6선,
김원기,18,열린우리당,,,,6선,
양형일,17,열린우리당,,지역구,,초선,
김정권,17,한나라당,,지역구,,재선,
노현송,17,열린우리당,,지역구,,초선,
정진섭,17,한나라당,,지역구,,재선,
최규식,17,열린우리당,,지역구,,재선,
유기준,17,한나라당,,지역구,,4선,
조성래,17,열린우리당,,비례대표,,초선,
우제항,17,열린우리당,,지역구,,초선,
김기춘,17,한나라당,,지역구,,3선,
홍미영,17,열린우리당,,비례대표,,초선,
강창일,17,열린우리당,,지역구,,4선,
유인태,17,열린우리당,,지역구,,3선,
권오을,17,한나라당,,지역구,,3선,
최연희,17,한나라당,,지역구,,4선,
최인기,17,무소속,,지역구,,재선,
황우여,17,한나라당,,지역구,,5선,
김부겸,17,열린우리당,,지역구,,4선,
권경석,17,한나라당,,지역구,,재선,
심재덕,17,열린우리당,,지역구,,초선,
박근혜,17,한나라당,,지역구,,5선,
이상배,17,한나라당,,지역구,,3선,
정갑윤,17,한나라당,,지역구,,5선,
이인영,17,열린우리당,,지역구,,5선,
정갑윤,18,한나라당,,지역구,,5선,
정성호,18,더불어민주당,,,,5선,
최연희,18,무소속,,지역구,,4선,
김한길,18,민주통합당,,,,4선,
권경석,18,한나라당,,지역구,,재선,
최규식,18,통합민주당,,지역구,,재선,
김기춘,18,한나라당,,,,3선,
홍미영,18,열린우리당,,,,초선,
김부겸,18,통합민주당,,지역구,,4선,
김재원,18,조국혁신당,,,,,
노현송,18,열린우리당,,,,초선,
김정권,18,한나라당,,지역구,,재선,
이상배,18,한나라당,,,,3선,
윤호중,18,더불어민주당,,,,5선,
안경률,18,한나라당,,지역구,,3선,
유기준,18,무소속,,지역구,,4선,
최인기,18,통합민주당,,지역구,,재선,
박기춘,18,통합민주당,,지역구,,3선,
정두언,17,한나라당,,지역구,,3선,
김형주,17,열린우리당,,지역구,,초선,
단병호,17,민주노동당,,비례대표,,초선,
우원식,17,열린우리당,,지역구,,5선,
김영주,17,열린우리당,,비례대표,,4선,
배일도,17,한나라당,,비례대표,,초선,
조정식,17,열린우리당,,지역구,,6선,
제종길,17,열린우리당,,지역구,,초선,
김영대,18,대통합민주신당,,,,초선,
고희선,18,새누리당,,,,재선,
단병호,18,민주노동당,,,,초선,
안홍준,18,한나라당,,지역구,,3선,
우원식,18,더불어민주당,,,,5선,
배일도,18,한나라당,,,,초선,
이경재,18,무소속,,지역구,,4선,
조성래,18,열린우리당,,,,초선,
정진섭,18,한나라당,,지역구,,재선,
신기남,18,민주통합당,,,,4선,
김상희,18,통합민주당,,비례대표,,4선,
서상기,18,한나라당,,지역구,,3선,
박보환,18,한나라당,,지역구,,초선,
김유정,18,통합민주당,,비례대표,,초선,
박영아,18,한나라당,,지역구,,초선,
권영길,18,민주노동당,,지역구,,재선,
배은희,18,한나라당,,비례대표,,초선,
김영진,18,통합민주당,,지역구,,5선,
임해규,18,한나라당,,지역구,,재선,
조전혁,18,한나라당,,지역구,,초선,
유성엽,18,무소속,,지역구,,3선,
주광덕,18,한나라당,,지역구,,재선,
김선동,18,한나라당,,지역구,,재선,
김세연,18,무소속,,지역구,,3선,
김장수,18,한나라당,,비례대표,,초선,
김옥이,18,한나라당,,비례대표,,초선,
이진삼,18,자유선진당,,지역구,,초선,
홍준표,18,한나라당,,지역구,,5선,
문희상,18,통합민주당,,지역구,,6선,
이윤성,18,한나라당,,지역구,,4선,
서종표,18,통합민주당,,비례대표,,초선,
심대평,18,자유선진당,,지역구,,재선,
김영우,18,한나라당,,지역구,,3선,
안규백,18,통합민주당,,비례대표,,5선,
김동성,18,한나라당,,지역구,,초선,
정동영,18,무소속,,지역구,,5선,
정미경,18,한나라당,,지역구,,재선,
정의화,18,한나라당,,지역구,,5선,
박상천,18,통합민주당,,지역구,,5선,
한기호,18,한나라당,,지역구,,4선,
신학용,18,통합민주당,,지역구,,3선,
김희철,18,통합민주당,,지역구,,초선,
이인제,18,무소속,,지역구,,6선,
백재현,18,통합민주당,,지역구,,3선,
백성운,18,한나라당,,지역구,,초선,
현기환,18,한나라당,,지역구,,초선,
이찬열,18,민주당,,지역구,,3선,
최규성,18,통합민주당,,지역구,,3선,
김성태,18,한나라당,,지역구,,3선,
박순자,18,한나라당,,지역구,,3선,
강기갑,18,민주노동당,,지역구,,재선,
이학재,18,한나라당,,지역구,,3선,
이한성,18,한나라당,,지역구,,재선,
김진애,18,민주당,,비례대표,,재선,
장광근,18,한나라당,,지역구,,3선,
장제원,18,한나라당,,지역구,,3선,
조원진,18,친박연대,,지역구,,3선,
김용태,18,한나라당,,지역구,,3선,
이춘석,18,통합민주당,,지역구,,4선,
박지원,18,무소속,,지역구,,5선,
김학용,18,한나라당,,지역구,,4선,
전현희,18,통합민주당,,비례대표,,3선,
권선택,18,자유선진당,,지역구,,재선,
김태원,18,한나라당,,지역구,,재선,
권성동,18,한나라당,,지역구,,5선,
김성회,18,한나라당,,지역구,,초선,
조영택,18,통합민주당,,지역구,,초선,
손숙미,18,한나라당,,비례대표,,초선,
이정희,18,민주노동당,,비례대표,,초선,
이진복,18,무소속,,지역구,,3선,
정옥임,18,한나라당,,비례대표,,초선,
홍영표,18,민주당,,지역구,,4선,
김재윤,19,민주통합당,,지역구,,3선,
박영아,19,한나라당,,,,초선,
안규백,19,민주통합당,,지역구,,5선,
유일호,19,새누리당,,지역구,,재선,
홍영표,19,민주통합당,,지역구,,4선,
이상권,19,한나라당,,,,초선,
